"Id","RaceID","Course","Time","Dist","RaceDesc","Class","AgeLimit","Value","Going","Run","No","Draw","Form","Horse","Days","CDB","Age","Weight","Aid","Trainer","Jockey","Allow","OR","BR2","BR3","BRY","Odds","WtLbs"
75,8,"Haydock","12:55","3m 58y","Pertemps Network Handicap Hurdle (GBB Race)","2","5YO plus","16,338","Good to Soft","14","6",,"112342","Gale Mahler","14",,"6","11-4","p","A Keatley","Henry Brooke",,"127","0","0","0","12/1","158"
76,8,"Haydock","12:55","3m 58y","Pertemps Network Handicap Hurdle (GBB Race)","2","5YO plus","16,338","Good to Soft","14","7",,"407-5PP","Doddiethegreat","28",,"9","11-3","p1","N J Henderson","B S Hughes",,"126","0","0","0","12/1","157"
77,8,"Haydock","12:55","3m 58y","Pertemps Network Handicap Hurdle (GBB Race)","2","5YO plus","16,338","Good to Soft","14","8",,"11-2246","One Big Bang","35","CD","7","11-3","","James Owen","Jamie Brace","5","126","0","0","0","16/1","157"
78,8,"Haydock","12:55","3m 58y","Pertemps Network Handicap Hurdle (GBB Race)","2","5YO plus","16,338","Good to Soft","14","9",,"7211-62","Nab Wood","26",,"8","11-1","","N G Richards","Sean Quinlan",,"124","0","0","0","10/1","155"
79,8,"Haydock","12:55","3m 58y","Pertemps Network Handicap Hurdle (GBB Race)","2","5YO plus","16,338","Good to Soft","14","10",,"2827-27","My Bobby Dazzler","104","D","10","11-0","","Mrs M Rowley","Toby Wynne","3","123","0","0","0","25/1","154"
80,8,"Haydock","12:55","3m 58y","Pertemps Network Handicap Hurdle (GBB Race)","2","5YO plus","16,338","Good to Soft","14","11",,"10P3-U7","Bingoo","51",,"9","10-13","","James Moffatt","Charlotte Jones",,"122","0","0","0","25/1","153"
81,8,"Haydock","12:55","3m 58y","Pertemps Network Handicap Hurdle (GBB Race)","2","5YO plus","16,338","Good to Soft","14","12",,"32-1112","Kilbarry Hill","28","D","7","10-12","t","O Murphy","S Bowen",,"121","0","0","0","8/1","152"
82,8,"Haydock","12:55","3m 58y","Pertemps Network Handicap Hurdle (GBB Race)","2","5YO plus","16,338","Good to Soft","14","13",,"351711","Chasingouttheblues","25","D","6","10-9","","M Walford","Jamie Hamilton",,"118","0","0","0","12/1","149"
83,8,"Haydock","12:55","3m 58y","Pertemps Network Handicap Hurdle (GBB Race)","2","5YO plus","16,338","Good to Soft","14","14",,"11-3F22","I Am Max","28",,"7","10-9","","A M Thomson","Danny McMenamin",,"118","0","0","0","14/1","149"
84,9,"Haydock","13:28","1m 7f 144y","Victor Ludorum Juvenile Hurdle (GBB Race)","2","4YO only","13,615","Good to Soft","5","1",,"1","Gibbs Island","20",,"4","11-5","","T Lacey","Stan Sheppard",,"-","0","0","0","5/2","159"
85,9,"Haydock","13:28","1m 7f 144y","Victor Ludorum Juvenile Hurdle (GBB Race)","2","4YO only","13,615","Good to Soft","5","2",,"241","Lavender Hill Mob","26","D","4","11-5","","James Owen","S Bowen",,"121","0","0","0","5/2","159"
86,9,"Haydock","13:28","1m 7f 144y","Victor Ludorum Juvenile Hurdle (GBB Race)","2","4YO only","13,615","Good to Soft","5","3",,"12","Marche D'aligre (FR)","50","D","4","11-5","","Jamie Snowden","G Sheehan",,"121","0","0","0","7/4","159"
87,9,"Haydock","13:28","1m 7f 144y","Victor Ludorum Juvenile Hurdle (GBB Race)","2","4YO only","13,615","Good to Soft","5","4",,"3","Give It To Me Oj","111",,"4","11-0","","G & J Moore","Caoilin Quinn",,"-","0","0","0","6/1","154"
88,9,"Haydock","13:28","1m 7f 144y","Victor Ludorum Juvenile Hurdle (GBB Race)","2","4YO only","13,615","Good to Soft","5","5",,"P44","Sophie Power (FR)","18",,"4","10-7","t h","H Dickin","Benjamin Poste",,"101","0","0","0","33/1","147"
89,10,"Haydock","14:05","2m 3f 203y","Unibet Middle Distance Chase Series Veterans' Handicap Chase","3","10YO plus","10,562","Good to Soft","6","1",,"46-1122","Nocte Volatus","29","D bf","10","11-12","t","T Lacey","Mr Toby McCain-Mitchell","7","130","0","0","0","9/4","166"
90,10,"Haydock","14:05","2m 3f 203y","Unibet Middle Distance Chase Series Veterans' Handicap Chase","3","10YO plus","10,562","Good to Soft","6","2",,"220-443","The Edgar Wallace","29","D","10","11-9","t p","K Bailey & M Nicholls","Thomas Bellamy",,"127","0","0","0","7/1","163"
91,10,"Haydock","14:05","2m 3f 203y","Unibet Middle Distance Chase Series Veterans' Handicap Chase","3","10YO plus","10,562","Good to Soft","6","3",,"11P321","The Flier Begley","29","D","10","11-7","","G Hanmer","Jack Hogan","3","125","0","0","0","7/2","161"
92,10,"Haydock","14:05","2m 3f 203y","Unibet Middle Distance Chase Series Veterans' Handicap Chase","3","10YO plus","10,562","Good to Soft","6","4",,"654212-","Dubai Days","322","D","11","11-6","t h","N W Alexander","Bruce Lynn",,"124","0","0","0","5/1","160"
93,10,"Haydock","14:05","2m 3f 203y","Unibet Middle Distance Chase Series Veterans' Handicap Chase","3","10YO plus","10,562","Good to Soft","6","5",,"511-533","Eaton Collina","23","D","10","11-4","","Kerry Lee","Liam Harrison",,"122","0","0","0","5/1","158"
