Races_ID,RaceTime,CardNo,HorseName,AgeWt,Trainer,Jockey,Or,FFigs,Draw,Days,Age,Aid,Allow,cdb
16,Newcastle,4,Elemental Eye,9-11,I Jardine,A Mullen,69,25366-4,(8),23,4,,,   
16,Newcastle,5,Byron Hill,9-11,P Neville,S A Gray,67,308726/,(10),597 (57J),8,t b,,   
16,Newcastle,6,Jujubella,9-11,Miss Lucinda V Russell,C Lee,69,434-113,(3),28,4,p,,  CD bf
16,Newcastle,7,High Court Judge (USA),9-9,James Owen,Hector Crouch,65,83-1111,(9),12,5,,,D   
16,Newcastle,8,Show No Fear,9-9,R Menzies,Kaiya Fraser,65,00388-2,(6),38,5,p,3, C  
16,Newcastle,9,Alpine Sierra,9-7,J S Goldie,P Mulrennan,63,515-555,(5),14,7,,, C  
16,Newcastle,10,Bella Bluesky,9-3,Ewan Whillans,D Nolan,59,911226-,(2),261,9,t,,D   
17,Newcastle,1,Last Shamardal,9-1,J Channon,George Bass,-,,(8),,3,,3,   
17,Newcastle,2,Lord Capulet,9-1,K A Ryan,S A Gray,-,5-2,(7),44,3,,,   
17,Newcastle,3,Fan Mail,8-13,T D Easterby,Sean Kirrane,75,084-2,(10),14,3,,,   
17,Newcastle,4,Galtee,8-13,Grant Tuer,Harrison Shaw,-,7-5,(2),7,3,,,   
17,Newcastle,5,Gorgeous Mr George,8-13,Dylan Cunha,Josephine Gordon,-,,(3),,3,,,   
17,Newcastle,6,Spirit Of Newlife,8-13,J & S Quinn,Harry Russell,-,87,(4),16,3,,,   
17,Newcastle,7,Toosexyformysocks,8-10,M Walford,Alex Jary,-,,(6),,3,,5,   
17,Newcastle,8,Martha Costello,8-8,D & N Barron,A Mullen,-,77-,(9),213,3,,,   
17,Newcastle,9,Sharon Curly,8-8,R A Fahey,Ethan Tindall,-,,(1),,3,,7,   
17,Newcastle,10,Triple Wishes,8-8,R A Fahey,Cam Hardie,-,5,(5),16,3,,,   
17,Newcastle,11,Volendam,8-8,Miss J A Camacho,J Fanning,-,5-2,(11),21,3,h,,   
18,Newcastle,1,Miraculous,9-7,R Varian,J Mitchell,80,12,(1),22,3,,, C  
18,Newcastle,2,Kameel,9-3,J Butler,Kaiya Fraser,-,1-,(4),56,3,,3,  CD 
18,Newcastle,3,Florida Dawn,9-0,C Johnston,J Fanning,75,41,(3),14,3,,,  CD 
18,Newcastle,4,Queen Dinah,8-5,K A Ryan,Josephine Gordon,-,65-,(2),204,3,,,   
19,Newcastle,1,Tempus,9-10,A Watson,P Mulrennan,86,9576-03,(3),18,9,b,,  CD 
19,Newcastle,2,Indalo,9-8,R Varian,J Mitchell,84,1/1-,(4),68,4,h,,  CD 
19,Newcastle,3,Dingle,9-4,Miss J A Camacho,Ryan Sexton,80,427085-,(5),56,7,,,  CD 
19,Newcastle,4,Longhaired General,9-3,Craig Lidster,William Pyle,79,462231-,(1),60,4,,3,  CD 
19,Newcastle,5,Quiet Resolve,8-12,R A Fahey,Warren Fentiman,74,3321-85,(2),18,4,,7,  CD 
20,Newcastle,1,Ormolulu,9-11,G Tutty,Rowan Scott,80,61-1927,(12),8,5,,,D   
20,Newcastle,2,Cargin Bhui,9-11,D & N Barron,C Lee,80,125723-,(3),244,4,,,   
20,Newcastle,3,Brazilian Rose,9-9,R Menzies,Kaiya Fraser,78,08-1113,(2),25,4,,3,  CD bf
20,Newcastle,4,Dark Kestrel,9-7,A Brittain,Cam Hardie,76,44-3243,(5),7,5,t,,D C  
20,Newcastle,5,Monks Dream,9-6,T D Easterby,Sean Kirrane,75,7/0050-7,(11),21,4,,,  CD 
20,Newcastle,6,Novak,9-4,I Jardine,Mohammed Tabti,73,88-1424,(4),14,6,,5,  CD 
20,Newcastle,7,Strong Power,9-4,B Ellison,Ben Robinson,73,02903-4,(6),29,8,,,D   
20,Newcastle,8,Beale Street,9-4,B Smart,D Nolan,73,41415-3,(9),35,4,,,  CD bf
20,Newcastle,9,Neapolitan (FR),9-3,A Brittain,Alex Jary,72,4500-75,(7),13,4,t,5,D   
20,Newcastle,10,Biplane (USA),9-2,J S Wainwright,P Mulrennan,71,68-3412,(1),9,7,p,,  CD bf
